#chr	start	end	geneName;geneId
1	29553	41080	FAM138A;ENSG00000237613
1	64090	75007	OR4F5;ENSG00000186092
1	362639	373633	OR4F29;ENSG00000235249
1	616058	627052	OR4F16;ENSG00000185097
1	855259	884954	SAMD11;ENSG00000187634
1	874583	899688	NOC2L;ENSG00000188976
1	890966	906094	KLHL17;ENSG00000187961
1	896876	916244	PLEKHN1;ENSG00000187583
1	905578	922496	C1orf170;ENSG00000187642
1	929341	940551	HES4;ENSG00000188290
1	943802	954919	ISG15;ENSG00000187608
1	950502	996495	AGRN;ENSG00000188157
1	1002125	1014686	RNF223;ENSG00000237330
1	1012197	1056740	C1orf159;ENSG00000131591
1	1104263	1138314	TTLL10;ENSG00000162571
1	1133887	1147070	TNFRSF18;ENSG00000186891
1	1141705	1154517	TNFRSF4;ENSG00000186827
1	1147287	1172410	SDF4;ENSG00000078808
1	1162628	1175420	B3GALT6;ENSG00000176022
1	1172825	1187101	FAM132A;ENSG00000184163
1	1184288	1214264	UBE2J2;ENSG00000160087
1	1209446	1232408	SCNN1D;ENSG00000162572
1	1222755	1249988	ACAP3;ENSG00000131584
1	1238946	1252056	PUSL1;ENSG00000169972
1	1241964	1265070	CPSF3L;ENSG00000127054
1	1255135	1269276	GLTPD1;ENSG00000224051
1	1261693	1275685	TAS1R3;ENSG00000169962
1	1265655	1289729	DVL1;ENSG00000107404
1	1283068	1302156	MXRA8;ENSG00000162576
1	1304109	1315874	AURKAIP1;ENSG00000175756
1	1316090	1339707	CCNL2;ENSG00000221978
1	1329901	1342425	RP4-758J18.2;ENSG00000224870
1	1332287	1347692	MRPL20;ENSG00000242485
1	1348799	1362148	ANKRD65;ENSG00000235098
1	1356507	1368166	TMEM88B;ENSG00000205116
1	1365240	1383261	VWA1;ENSG00000179403
1	1380068	1410537	ATAD3C;ENSG00000215915
1	1402142	1438227	ATAD3B;ENSG00000160072
1	1442530	1475066	ATAD3A;ENSG00000197785
1	1465553	1480832	TMEM240;ENSG00000205090
1	1472052	1515248	SSU72;ENSG00000160075
1	1505354	1516372	AL645728.1;ENSG00000215014
1	1528391	1540475	C1orf233;ENSG00000228594
1	1545794	1570989	MIB2;ENSG00000197530
1	1562473	1575638	MMP23B;ENSG00000189409
1	1565602	1595472	CDK11B;ENSG00000248333
1	1587938	1629166	SLC35E2B;ENSG00000189339
1	1629168	1660776	CDK11A;ENSG00000008128
1	1651276	1682430	SLC35E2;ENSG00000215790
1	1677670	1716895	NADK;ENSG00000008130
1	1711724	1827501	GNB1;ENSG00000078369
1	1841265	1853734	CALML6;ENSG00000169885
1	1844028	1855711	TMEM52;ENSG00000178821
1	1848395	1940275	C1orf222;ENSG00000142609
1	1945779	1967191	GABRD;ENSG00000187730
1	1976908	2121833	PRKCZ;ENSG00000067606
1	2110902	2149158	C1orf86;ENSG00000162585
1	2138359	2150619	AL590822.1;ENSG00000203301
1	2155133	2246557	SKI;ENSG00000157933
1	2247691	2328145	MORN1;ENSG00000116151
1	2318266	2340189	RER1;ENSG00000157916
1	2331235	2350235	PEX10;ENSG00000157911
1	2393897	2441968	PLCH2;ENSG00000149527
1	2434971	2463038	PANK4;ENSG00000157881
1	2455183	2466683	HES5;ENSG00000197921
1	2482077	2502060	TNFRSF14;ENSG00000157873
1	2512929	2527907	FAM213B;ENSG00000157870
1	2517077	2569480	MMEL1;ENSG00000142606
1	2562414	2723285	TTC34;ENSG00000215912
1	2933045	2944464	ACTRT2;ENSG00000169717
1	2980731	3360184	PRDM16;ENSG00000142611
1	3365989	3402676	ARHGEF16;ENSG00000130762
1	3401483	3533058	MEGF6;ENSG00000162591
1	3536565	3551690	TPRG1L;ENSG00000158109
1	3542330	3574324	WRAP73;ENSG00000116213
1	3564083	3657764	TP73;ENSG00000078900
1	3663961	3693207	CCDC27;ENSG00000162592
1	3684351	3697545	SMIM1;ENSG00000235169
1	3691783	3718067	LRRC47;ENSG00000130764
1	3723644	3778777	CEP104;ENSG00000116198
1	3768844	3806992	DFFB;ENSG00000169598
1	3800688	3821856	C1orf174;ENSG00000198912
1	4709791	4848849	AJAP1;ENSG00000196581
1	5917870	6057532	NPHP4;ENSG00000131697
1	6046525	6166252	KCNAB2;ENSG00000069424
1	6156852	6245182	CHD5;ENSG00000116254
1	6236328	6274448	RPL22;ENSG00000116251
